Test,Range,MinScore,MaxScore
Math3,1,900,1271
Math3,2,1272,1307
Math3,3,1308,1366
Math3,4,1367,1400
Math3,5,1401,1477
Math3,6,1478,1560
Math3,7,1561,1595
Math3,8,1596,1721
Math4,1,990,1313
Math4,2,1314,1340
Math4,3,1341,1396
Math4,4,1397,1430
Math4,5,1431,1510
Math4,6,1511,1594
Math4,7,1595,1636
Math4,8,1637,1758
Math5,1,1060,1360
Math5,2,1361,1387
Math5,3,1388,1456
Math5,4,1457,1493
Math5,5,1494,1564
Math5,6,1565,1654
Math5,7,1655,1695
Math5,8,1696,1816
Math6,1,1130,1407
Math6,2,1408,1432
Math6,3,1433,1495
Math6,4,1496,1532
Math6,5,1533,1602
Math6,6,1603,1694
Math6,7,1695,1729
Math6,8,1730,1856
Math7,1,1191,1458
Math7,2,1459,1487
Math7,3,1488,1550
Math7,4,1551,1581
Math7,5,1582,1645
Math7,6,1646,1738
Math7,7,1739,1777
Math7,8,1778,1895
Math8,1,1192,1482
Math8,2,1483,1507
Math8,3,1508,1574
Math8,4,1575,1609
Math8,5,1610,1674
Math8,6,1675,1777
Math8,7,1778,1813
Math8,8,1814,1945
Reading3,1,900,1281
Reading3,2,1282,1318
Reading3,3,1319,1406
Reading3,4,1407,1453
Reading3,5,1454,1550
Reading3,6,1551,1658
Reading3,7,1659,1703
Reading3,8,1704,1865
Reading4,1,981,1331
Reading4,2,1332,1377
Reading4,3,1378,1453
Reading4,4,1454,1495
Reading4,5,1496,1588
Reading4,6,1589,1686
Reading4,7,1687,1733
Reading4,8,1734,1877
Reading5,1,991,1354
Reading5,2,1355,1390
Reading5,3,1391,1497
Reading5,4,1498,1544
Reading5,5,1545,1639
Reading5,6,1640,1750
Reading5,7,1751,1793
Reading5,8,1794,1956
Reading6,1,1104,1382
Reading6,2,1383,1416
Reading6,3,1417,1521
Reading6,4,1522,1572
Reading6,5,1573,1662
Reading6,6,1663,1760
Reading6,7,1761,1803
Reading6,8,1804,1971
Reading7,1,1136,1436
Reading7,2,1437,1476
Reading7,3,1477,1565
Reading7,4,1566,1608
Reading7,5,1609,1699
Reading7,6,1700,1797
Reading7,7,1798,1835
Reading7,8,1836,1987
Reading8,1,1155,1439
Reading8,2,1440,1479
Reading8,3,1480,1578
Reading8,4,1579,1623
Reading8,5,1624,1713
Reading8,6,1714,1811
Reading8,7,1812,1852
Reading8,8,1853,2000
